Document,Category,Text
rules_of_engagement,Proportionality and Necessity,"(3) Proportionality. The use of force in self-defense should be sufficient to respond decisively to hostile acts or
demonstrations of hostile intent. Such use of force may exceed the means and intensity of the hostile act or hostile intent, but the
nature, duration and scope of force used should not exceed what is required. The concept of proportionality in self-defense
should not be confused with attempts to minimize collateral damage during offensive operations."
law_of_war_2023,Proportionality and Necessity,"No Legal Requirement for a Cyber Response to a Cyber Attack. There is
no legal requirement that the response in self-defense to a cyber armed attack take the form of a
cyber action, as long as the response meets the requirements of necessity and proportionality.32"
law_of_war_2023,Proportionality and Necessity,"16.5.1.1 Assessing Incidental Injury or Damage During Cyber Operations. The
principle of proportionality prohibits attacks in which the expected loss of life or injury to
civilians, and damage to civilian objects incidental to the attack, would be excessive in relation
to the concrete and direct military advantage expected to be gained.49
For example, in applying this prohibition to cyber operations, it might be important to
assess the potential effects of a cyber attack on computers that are not military objectives, such
as private, civilian computers that hold no military significance, but that may be networked to
computers that are valid military objectives.50
In assessing incidental injury or damage during cyber operations, it may be important to
consider that remote harms and lesser forms of harm, such as mere inconveniences or temporary
disruptions, need not be considered in assessing whether an attack is prohibited by the principle
of proportionality.51 For example, a minor, brief disruption of internet services to civilians that
results incidentally from a cyber attack against a military objective generally would not need to
be considered in a proportionality analysis.52"
law_of_war_2023,Proportionality and Necessity,"The Means Must Be Proportionate to the Just Cause (Proportionality –
Jus ad Bellum). Proportionality involves a weighing of the contemplated actions with the
justification for taking action.190 For example, the proportionality of the measures taken in selfdefense
is to be judged according to the nature of the threat being addressed.191 Force may be
used in self-defense, but only to the extent that it is required to repel the armed attack and to
restore the security of the party attacked.192 As an illustration, assessing the proportionality of
measures taken in self-defense may involve considerations of whether an actual or imminent
attack is part of an ongoing pattern of attacks or what force is reasonably necessary to discourage
future armed attacks or threats thereof.193"
law_of_war_2023,Proportionality and Necessity,"Unreasonable or Excessive. Proportionality generally weighs the
justification for acting against the expected harms to determine whether the latter are
disproportionate in comparison to the former. In war, incidental damage to the civilian
population and civilian objects is unfortunate and tragic, but inevitable.69 Thus, applying the
principle of proportionality in conducting attacks does not require that no incidental damage
result from attacks.70 Rather, this principle creates obligations to refrain from attacks in which
the expected harm incidental to such attacks would be excessive in relation to the concrete and
direct military advantage anticipated to be gained and to take feasible precautions in planning
and conducting attacks to reduce the risk of harm to civilians and other persons and objects
protected from being made the object of attack.71
Under the law of war, judgments of proportionality often involve difficult and subjective
comparisons.72 Recognizing these difficulties, States have declined to use the term
“proportionality” in law of war treaties because it could incorrectly imply an equilibrium
between considerations or suggest that a precise comparison between them is possible.73"
law_of_war_2023,Proportionality and Necessity,"Applying the Principle of Proportionality in Combat Operations, 4 (Oxford Institute for Ethics, Law
and Armed Conflict, December 2010) (“While the proportionality judgement call is thus pushed higher-up the chain
of command as more civilian damage is expected to result from an attack, it remains an essentially subjective and
personal matter. Interviews with practitioners suggest that professional experience and personal morality rather than
a transparent and stable set of criteria determine what is considered proportionate. Military lawyers acknowledge
that, as a result, different professionals are likely to come to different conclusions about whether an anticipated
collateral damage is excessive in the same situation, when applying the law in good faith. Commanders suggest
that, proportionality judgements, in reality, often boil down to asking ‘can the estimated collateral damage be further
reduced, through timing, choice of weapons or angle of attack.’ If the answer is no, the principle is considered to be
fulfilled.”)."
law_of_war_2023,Proportionality and Necessity,"It is the understanding of the United States of America that ‘special protection’, as defined in
Chapter II of the Convention, codifies customary international law in that it, first, prohibits the use of any cultural
property to shield any legitimate military targets from attack and, second, allows all property to be attacked using
any lawful and proportionate means, if required by military necessity and notwithstanding possible collateral
damage to such property.”)."
law_of_war_2023,Proportionality and Necessity,"In our view, there is no threshold for a use of deadly force to qualify as an “armed attack” that
may warrant a forcible response. But that is not to say that any illegal use of force triggers the right to use any and
all force in response—such responses must still be necessary and of course proportionate.”)."
law_of_war_2023,Proportionality and Necessity,"Parties to an armed
conflict will need to assess the potential effects of a cyber attack on computers that are not military objectives, such
as private, civilian computers that hold no military significance, but may be networked to computers that are valid
military objectives. Parties will also need to consider the harm to the civilian uses of such infrastructure in
performing the necessary proportionality review."
law_of_war_2023,Proportionality and Necessity,"(“Customary
international law allows reprisals, which are breaches of a treaty’s terms in response to a breach by another party.
To be legal, reprisals must respond in a proportionate manner to a preceding illegal act by the party against whom
they are taken. Identical reprisals are the easiest to justify as proportionate, because subjective comparisons are not
involved. Thus, in the current crisis, the taking of Iranian diplomats as ‘hostages’ (or a lesser restriction on their
freedom of movement that approaches imprisonment) would clearly be a proportionate response; reducing the
immunity of Iranian diplomats from criminal prosecution would be more difficult to justify.”)."
law_of_war_2023,The Law of Neutrality,"The law of neutrality prescribes the
legal relationship between belligerent States and neutral States. The law of neutrality regulates
relations between: (1) belligerent States, vessels, aircraft, and persons; and (2) neutral States,
vessels, aircraft, and persons. Under the law of neutrality, these categories of belligerents and
neutrals have corresponding rights, duties, and liabilities. Special rules have been developed to
address situations on land, at sea, and in the air.
Certain rules found in the law of neutrality have also been applied in other contexts that
are closely analogous, such as a State’s duties to prevent a non-State armed group’s use of its
territory for hostile expeditions against another State.5"
law_of_war_2023,The Law of Neutrality,"The law of neutrality seeks to preserve friendly
relations between belligerent and neutral States by permitting States to avoid taking sides in an
armed conflict.12 The law of neutrality also seeks to prevent additional States from being drawn
into an armed conflict by establishing a clear distinction between belligerent and neutral States.13
In particular, the law of neutrality seeks to minimize the effects of armed conflict on States that
are not party to the conflict, including by lessening the effect of war on neutral commerce."
law_of_war_2023,The Law of Neutrality,"For example, a neutral State’s acts of participation in a war of aggression against another
member of the United Nations would likely violate not only its duties under the law of
neutrality,41 but also the Charter’s prohibition on the unlawful use of force.42
In the past, the law of neutrality was often viewed as not regulating a State’s decision as
to whether to adopt a position of neutrality or hostility towards another State.43 Thus, under this
view, the requirements of the law of neutrality could have been avoided by neutral States if they
decided to enter the war or by belligerent States if they chose to declare war on a neutral.44 The
Charter of the United Nations clarifies that such decisions to resort to force may not be made
without a proper legal basis.45 Thus, insofar as provisions of the Charter are coincident with
certain rules in the law of neutrality, such requirements of the Charter may not be evaded in the
way that arguably certain requirements of the law of neutrality previously could have been
evaded."
law_of_war_2023,The Law of Neutrality,"15.4.3 Neutral State’s Use of Force to Defend Its Neutrality. A neutral State may also
engage in self-help to prevent violations of neutrality on its territory. Such self-help is also an
obligation of the neutral State.85
The fact that a neutral State resists, even by force, attempts to violate its neutrality cannot
be regarded as a hostile act.86 For example, a State whose territory is adjacent to a theater of war
normally mobilizes a portion of its forces to prevent the forces of either belligerent from entering
its territory, to intern such persons as may be permitted to enter, and generally to carry out its
duties of neutrality.87 Such military operations are not regarded as hostile acts against the
belligerent State."
law_of_war_2023,The Law of Neutrality,"PROHIBITION ON THE USE OF NEUTRAL TERRITORY AS A BASE OF OPERATIONS
Neutral territory (including neutral lands, waters, and airspace) may not be used as a base
of operations against belligerent forces.93 For example, belligerent States are forbidden to use a
neutral State’s ports and waters as a base of naval operations against their adversaries,94 and a
neutral State has a corresponding obligation to prevent such use.95"
law_of_war_2023,The Law of Neutrality,"Neutral Persons Resident in Occupied Territory. Neutral persons resident in
occupied territory are not entitled to claim different treatment, in general, from that accorded the
other inhabitants.129 They must refrain from all participation in the war and from all hostile acts,
and must observe strictly the rules of the Occupying Power.130
All nationals of neutral States, whether resident in or temporarily visiting an occupied
territory, may be punished for offenses committed by them to the same extent and in the same
manner as enemy nationals.131 In addition, it may be possible to extradite nationals of neutral
States who have committed offenses to their home States for prosecution. If nationals of neutral
States are not “protected persons,” they may be deported or expelled for just cause.132
In the event that such a person is arrested, suspicions must be verified by a serious
inquiry, and the arrested neutral person must be given an opportunity to present a defense, and to
communicate with his or her national consul if requested.133"
law_of_war_2023,The Law of Neutrality,"Waters That Are Considered Neutral. The waters that are subject to the
sovereignty of a neutral State are considered neutral. Neutral waters may be understood to
include the following waters belonging to a neutral State:
• the territorial sea, including up to 12 nautical miles;142
• archipelagic waters;143 and
• ports, roadsteads, and internal waters.144
For the purpose of applying the law of neutrality, all ocean areas not subject to the
territorial sovereignty of any State (i.e., all waters seaward of neutral States’ territorial seas) are
not considered neutral waters. The following waters are not considered neutral waters:
• a neutral State’s contiguous zone;145
• a neutral State’s exclusive economic zone;146 and
• the high seas.147"
law_of_war_2023,The Law of Neutrality,"The neutral State may place conditions or restrictions on the passage or landing of
medical aircraft on its territory.369 Such conditions or restrictions shall be applied equally to all
belligerent States.370 Belligerent States’ medical aircraft would be immune from attack only
when flying on routes, at heights, and at times specifically agreed upon between the belligerent
States and the neutral State concerned.371"
law_of_war_2023,The Law of Neutrality,"A
neutral State permitting the passage of sick and wounded into and through its territory must take
measures of safety and control to ensure that combatants or military supplies do not accompany
them. If combatants accompany the passage of the wounded and sick, they should be interned.360
Similarly, any military supplies must be seized and placed in safe custody until the end of the
conflict.361
Medical personnel and materials necessary for the care of the wounded and sick of a
convoy of evacuation may be permitted to accompany the convoy.362"
law_of_war_2023,The Law of Neutrality,"Sick and wounded prisoners of war brought into neutral territory by
the Detaining Power as part of a convoy of evacuation granted right of passage through neutral territory may not be
transported to their own country or liberated, as are prisoners of war escaping into, or brought by troops seeking
asylum in neutral territory, but must be detained by the neutral power"
law_of_war_2023,Civilians on the Battlefield (COB),"Having a Fixed Distinctive Sign Recognizable at a Distance. Members of the
armed group should display a fixed distinctive sign or other device recognizable at a distance.
The essence of this requirement is that members of the armed group are distinguishable from the
civilian population.163 By helping to ensure that members of the armed group can be visually
distinguished from civilians, this requirement helps protect the civilian population from being
erroneously made the object of attack.164"
law_of_war_2023,Civilians on the Battlefield (COB),"RIGHTS, DUTIES, AND LIABILITIES OF CIVILIANS
Like combatants, members of the civilian population also have certain rights, duties, and
liabilities under the law of war. Civilians may not be made the object of attack. If detained,
civilians are entitled to humane treatment and a variety of additional protections. Civilians lack
the combatant’s privilege, and may be punished, after a fair trial, by an enemy State for engaging
in hostilities against it."
law_of_war_2023,Civilians on the Battlefield (COB),"No Person May Claim the Distinct Rights Afforded to Both Combatants and Civilians at the
Same Time)."
law_of_war_2023,Civilians on the Battlefield (COB),"Persons Using Enemy Uniforms May Be Liable to Treatment as Spies and
Saboteurs. Although the use of enemy uniforms outside of combat generally is neither
prohibited by the customary law of war nor by law of war treaties to which the United States is a
Party, combatants captured by an opposing party behind the opposing party’s lines while wearing
the uniform of the opposing party may be liable to treatment as spies and saboteurs.819"
law_of_war_2023,Civilians on the Battlefield (COB),"Where in occupied territory an individual
protected person is detained as a spy or saboteur, or as a person under definite suspicion of
activity hostile to the security of the Occupying Power, such person shall, in those cases where
absolute military security so requires, be regarded as having forfeited rights of communication
under the GC.58 For example, it may be necessary to keep the fact of detention secret
temporarily so as not to compromise an ongoing operation against a conspiracy or network of
spies.59
The derogation provisions relating to the home territory of a belligerent are not applicable
in occupied territory, even though the occupied territory may arguably be characterized as the
home territory of the opposing belligerent (i.e., the country being occupied)."
