Document,Category,Text
law_of_war_2023,Civilian Harm and Noncombatant Rights,"Certain categories of
personnel have humanitarian duties that involve them in hostilities but also entitle them to
special protections:
• military medical and religious personnel;19
• authorized staff of voluntary aid societies;20
• staff of a recognized aid society of a neutral country;21
• auxiliary medical personnel;22 and
• personnel engaged in the protection of cultural property.23"
law_of_war_2023,Civilian Harm and Noncombatant Rights,"Certain categories of
persons are not members of the armed forces, but are nonetheless authorized to support the
armed forces in the fighting:
• persons authorized to accompany the armed forces, but who are not members thereof;24
and
• members of the crews of merchant marine vessels or civil aircraft of a belligerent.25"
law_of_war_2023,Civilian Harm and Noncombatant Rights,"Unprivileged Belligerents. Unprivileged belligerents generally are subject to the liabilities of both combatant and civilian status, and include: persons engaging in spying, sabotage, and similar acts behind enemy lines
 and private persons engaging in hostilities."
law_of_war_2023,Civilian Harm and Noncombatant Rights,"“Combatant” and “Belligerent”. “Combatant” and “belligerent” have
sometimes been used interchangeably and, in this usage, they generally describe individuals who
are not “civilians.”"
law_of_war_2023,Civilian Harm and Noncombatant Rights,"4.8.2 Civilians – Conduct of Hostilities. Civilians may not be made the object of attack,
unless they take direct part in hostilities.196 The wounded and sick, as well as the infirm, and
expectant mothers, shall be the object of particular protection and respect.197 Civilians may be
killed incidentally in military operations; however, the expected incidental harm to civilians may
not be excessive in relation to the anticipated military advantage from an attack,198 and feasible
precautions must be taken to reduce the risk of harm to civilians during military operations.199
Civilians who engage in hostilities thereby forfeit the corresponding protections of
civilian status and may be liable to treatment in one or more respects as unprivileged
belligerents.200"
law_of_war_2023,Civilian Harm and Noncombatant Rights,"4.8.3 Civilians – Detention. In general, civilians may be subject to non-violent measures
that are justified by military necessity, such as searches, or temporary detention.201 Belligerents
or Occupying Powers may take necessary security measures in relation to civilians, including
internment or assigned residence for imperative reasons of security.202
Enemy civilians who are interned during international armed conflict or occupation
generally are classified as “protected persons” under the GC and receive a variety of
protections.203 Chapter X addresses in detail the required treatment of enemy civilian internees
during international armed conflict and occupation. In all circumstances, detained civilians must
be treated humanely.204 Special categories of civilians, such as children, may require additional
consideration during detention.205"
law_of_war_2023,Civilian Harm and Noncombatant Rights,"4.24 JOURNALISTS
In general, journalists are civilians and are protected as such under the law of war.
Journalists play a vital role in free societies and the rule of law and in providing
information about armed conflict.471 Moreover, the proactive release of accurate information to
domestic and international audiences has been viewed as consistent with the objectives of U.S.
military operations.472 DoD operates under the policy that open and independent reporting is the
principal means of coverage of U.S. military operations.473 In addition to responding to press
inquiries and providing briefings to members of the press on U.S. military operations, DoD
practice has also been to embed journalists with units during military operations.474 Embedded
journalists are assigned to a unit, and they eat, sleep, and move with the unit.475"
law_of_war_2023,Civilian Harm and Noncombatant Rights,"Children Under Fifteen Who Are Orphaned or Separated. The parties to
the conflict shall take the necessary measures to ensure that children under fifteen, who are
orphaned or are separated from their families as a result of the war, are not left to their own
resources, and that their maintenance, the exercise of their religion, and their education are
facilitated in all circumstances.424 The maintenance of the children concerned means their
feeding, clothing, and accommodation, care for their health, and, where necessary, medical and
hospital treatment.425"
rules_of_engagement,Positive Identification and Hostile Intent,"b. Declared Hostile Force (DHF). Any civilian, paramilitary or military force or terrorist(s) that has
been declared hostile by appropriate U.S. authority. Once a force is declared “hostile,” U.S. units may engage that
force without observing a hostile act or demonstration of hostile intent; i.e., the basis for engagement shifts from
conduct to status. Once a force or individual is identified as a DHF, the force or individual may be engaged, unless
surrendering or hors de combat due to sickness or wounds. The authority to declare a force hostile is limited, and
may be found at Appendix A to Enclosure A, paragraph 3, of the SROE."
rules_of_engagement,Positive Identification and Hostile Intent,"c. Hostile Act. An attack or other use of force against the United States, U.S. forces, or other
designated persons or property. It also includes force used directly to preclude or impede the mission and/or duties
of U.S. forces, including the recovery of U.S. personnel or vital U.S. government property."
rules_of_engagement,Positive Identification and Hostile Intent,"d. Hostile Intent. The threat of imminent use of force against the United States, U.S. forces, or
other designated persons or property. It also includes the threat of force to preclude or impede the mission and/or
duties of U.S. forces, including the recovery of U.S. personnel or vital U.S. government property."
law_of_war_2023,Positive Identification and Hostile Intent,"5.7.1 Armed Forces and Groups and Liability to Being Made the Object of Attack.
Membership in the armed forces or belonging to an armed group makes a person liable to being
made the object of attack regardless of whether he or she is taking a direct part in hostilities.248
This is because the organization’s hostile intent may be imputed to an individual through his or
her association with the organization. Moreover, the individual, as an agent of the group, can be
assigned a combat role at any time, even if the individual normally performs other functions for
the group.249"
law_of_war_2023,Positive Identification and Hostile Intent,"Categories of Persons Who Are Combatants for the Purpose of Assessing Their
Liability to Attack. The following categories of persons are combatants who may be made the
object of attack because they are sufficiently associated with armed forces or armed groups:
• members of the armed forces of a State;253
• members of militia and volunteer corps;254
• participants in a levée en masse;255
• persons belonging to non-State armed groups;256 and
• leaders whose responsibilities include the operational command and control of the armed
forces or of a non-State armed group."
law_of_war_2023,Positive Identification and Hostile Intent,"Civilians who take a direct part in hostilities forfeit protection from being made the object
of attack."
law_of_war_2023,Positive Identification and Hostile Intent,"Examples of Taking a Direct Part in Hostilities. The following acts are
generally considered taking a direct part in hostilities that would deprive civilians who perform
them of protection from being made the object of attack. These examples are illustrative and not
exhaustive:
• taking up or bearing arms against the opposing party, or otherwise personally trying to
kill, injure, or capture personnel or damage material belonging to the opposing party,296
• providing or relaying information of immediate use in combat operations, such as
o acting as an artillery spotter or member of a ground observer corps or otherwise
relaying information to be used to direct an airstrike, mortar attack, or ambush;299
and
o acting as a guide or lookout for combatants conducting military operations;300
• supplying weapons and ammunition, whether to conventional armed forces or non-state
armed groups, or assembling weapons (such as improvised explosive devices) in close
geographic or temporal proximity to their use,301 such as
o delivering ammunition to the front lines; or
o outfitting and preparing a suicide bomber to conduct an attack.
• preparing for combat and returning from combat;
• planning, authorizing, or implementing a combat operation against the opposing party,
even if that person does not personally use weapons or otherwise employ destructive
force in connection with the operation;298
such as
o defending military objectives against enemy attack (e.g., manning an antiaircraft
gun, acting as a bodyguard for an enemy combatant);297
o acting as a member of a weapons crew;
o engaging in an act of sabotage; or
o emplacing mines or improvised explosive devices;"
law_of_war_2023,Positive Identification and Hostile Intent,"The
following acts are generally not considered taking a direct part in hostilities that would deprive
civilians who perform them of protection from being made the object of attack. These examples
are illustrative and not exhaustive:
• mere sympathy or moral support for a party’s cause;
• general contributions made by citizens to their State’s war effort (e.g., buying war bonds
or paying taxes to the government that will ultimately be used to fund the armed forces);
• police services (e.g., police officers who maintain public order against common criminals
during armed conflict);302
• independent journalism or public advocacy (e.g., opinion journalists who write columns
supporting or criticizing a State’s war effort);303
• working in a munitions factory or other factory that is not in geographic or temporal
proximity to military operations but that is supplying weapons, materiel, and other goods
useful to the armed forces of a State;304 or
• providing medical care or impartial humanitarian assistance.305
Although performing these activities does not make a person liable to being made the object of
attack, performing these activities also does not immunize a person from attack if that person
takes a direct part in hostilities or is otherwise lawfully made the object of attack."
law_of_war_2023,Positive Identification and Hostile Intent,"5.9.3 Persons Who Have Surrendered. Persons who are not in custody but who have
surrendered are hors de combat and may not be made the object of attack.321 In order to make a
person hors de combat, the surrender must be (1) genuine; (2) clear and unconditional; and (3)
under circumstances where it is feasible for the opposing party to accept the surrender.322
5.9.3.1 Genuine. The offer to surrender must be genuine. In addition to being
legally ineffective, feigning the intent to surrender can constitute perfidy.323
5.9.3.2 Clear and Unconditional. The offer to surrender must be clear and
unconditional.
Any arms being carried should be laid down."
law_of_war_2023,Positive Identification and Hostile Intent,"5.9.5 Persons Parachuting From an Aircraft in Distress. In general, persons, such as
aircrew or embarked passengers, parachuting from an aircraft in distress are treated as though
they are hors de combat, i.e., they must not be made the object of attack.339
This protection is provided because a person descending by parachute is temporarily hors
de combat just like someone who is shipwrecked340 or unconscious.341"
rules_of_engagement,Escalation of Force Procedures,"e. Imminent Use of Force. The determination of whether the use of force against U.S. forces is
imminent will be based on an assessment of all facts and circumstances known to U.S. forces at the time and may be
made at any level. Imminent does not necessarily mean immediate or instantaneous."
